tweets,polarity,subjectivity
@BW Truimp is making america great again. #JobCreation,0.8,0.75
Whys is it #Truimp officials are across the board incompetent but also have to be such assholes? #Mulvaney is a punk https://t.co/mG8TQ0C5H1,-0.175,0.43333333333333335
RT @trumpeteernumbe: @EricTrump PUT YOUR OLD GERIATRIC LIAR ON DEBATE AND LET THE WORLD HAVE  THE LAUGH OF THE CENTURY--TRUIMP MIXES UP EVE…,0.2,0.15000000000000002
@EricTrump PUT YOUR OLD GERIATRIC LIAR ON DEBATE AND LET THE WORLD HAVE  THE LAUGH OF THE CENTURY--TRUIMP MIXES UP… https://t.co/KhhkyOIJwt,0.2,0.15000000000000002
"Truimp: zorba olma, kanka ol bro",0.0,0.0
"@seanhannity No Shawn, just no. Donald truimp needs to depart.",0.0,0.0
"#truimp

LYING SCUM TRUMP, KEPT 2 SETS OF TAX BOOKS:

New tax documents show Trump kept '2 sets of books', allege f… https://t.co/jdOcMcbzw3",-0.08181818181818182,0.42727272727272725
"Biden: after everything Truimp has done, leaving partners to be slaughtered, after embracing thugs like Putin and U… https://t.co/RFqsXsfYdn",0.0,0.0
"Biden: after everything Truimp has done, leaving partners to be slaughtered, after embracing thugs like Putin and U… https://t.co/77wuaMpqit",0.0,0.0
"Obama, u arrogant shit,  gave the world Trump.  Remember that Press Corps dinner when Obman humiliated the asshole… https://t.co/fFa8G9Ftid",-0.2,0.8
